Credit Score,SSN,Age,Occupation,Annual Income,Delayed Payments,Debt,Musician,Journalist,Doctor,MediaManager,Mechanic,Lawyer,Entrepreneur,Teacher,Scientist, Engineer, Accountant,Manager,Writer,Developer,Architect,Home Equity Loan,Auto Loan,Mortgage Loan,Not Specified,Personal Loan,Payday Loan,Student Loan,Credit-Builder Loan,Debt Consolidation Loan
Standard,372-10-1782,41,Musician,10094.05,14,695.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Standard,472-08-0007,42,Journalist,10427.44,15,1367.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
Good,308-92-6427,33,Musician,81411.2,4,467.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Poor,511-48-7019,37,Doctor,10186.205,16,3455.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Good,867-19-1382,44,MediaManager,33588.38,11,891.61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Poor,710-29-0360,14,Mechanic,15419.66,14,1852.93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Standard,969-97-7513,42,Lawyer,36151.31,6,563.28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Standard,452-06-9195,45,Entrepreneur,62630.6,13,2425.13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Standard,247-95-4951,26,Teacher,142319.72,11,1092.52,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Standard,145-70-6462,41,Entrepreneur,131199.12,11,1006.45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Standard,772-52-0737,53,Scientist,112021.6,13,1313.69,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Good,408-42-1764,-500,Engineer,35322.24,1,907.76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
